CourseID,Course Name,ProfessorID
1,Introduction to Data Science,4
2,Machine Learning for Data Scientist,8
3,Principles of Software Engineering,5
4,Control Systems Engineering,6
5,Robotic and Automation,15
6,Fundamentals of Computer Networks,17
7,Introduction to Cybersecurity,13
8,Fundamentals of Bioinformatics,7
9,Data Structures and Algorithms,20
10,Operating Systems,3
11,Design Patterns in Software Development,31
12,Electromagnetic Theory,24
13,Fundamentals of Computer Networks,26
14,Design Logic Sign,39
15,Network Security,34
16,Cyber Threat Intelligence,25
17,Data Mining in Bioinformatics,30
18,Natural Language Processing,4
19,Predictive Analytics,33
20,Introduction to Programming,23
21,Introduction to Computer Science,22
22,Artificial Intelligence Fundamentals,12
23,Introduction to Data Science,29
24,Introduction to Computer Science,20
25,Artificial Intelligence Fundamentals,9
26,Introduction to Data Science,19
27,Introduction to Computer Science,2
28,Computer Architecture,16
29,Data Structures and Algorithms,18
30,Natural Language Processing,8
31,Machine Learning,40
32,Computer Architecture,28
33,Control Systems Engineering,15
34,Data Analytics for Business Decisions,14
35,Business Intelligence and Data Warehousing,3
36,Introduction to Cybersecurity,37
37,Principles of Software Engineering,35
38,Design Patterns in Software Development,10
39,Cognotic Robotic,11
40,Embedded Systems for Robotic,27
41,Embedded Systems for Robotic,32
42,Network Security,38
43,Design Logic Sign,1
44,Signal Processing,41
45,Signal Processing,24
46,Theory of Computation,21
47,Programming Paradigms,36
